Item, Quantity, Price, Total, Notes, link
ELEGOO UNO, 1, $17.99, $17.99, motor control, https://www.amazon.com/Hitec-31311S-HS-311-Standard-Universal/dp/B0006O3WVE/ref=asc_df_B0006O3WVE/?tag=hyprod-20&linkCode=df0&hvadid=312123494345&hvpos=&hvnetw=g&hvrand=11041523708873785342&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9067609&hvtargid=pla-457197688544&psc=1
HS-311 Servo, 1, $13.49, $13.99, motor, https://www.amazon.com/ELEGOO-Board-ATmega328P-ATMEGA16U2-Compliant/dp/B01EWOE0UU
Plexiglass sheet, 1, $107, $107, a sheet made out of plexiglass, https://www.amazon.ca/gp/product/B086ZYLN1Q/ref=ppx_yo_dt_b_asin_title_o06_s00?ie=UTF8&psc=1
Extension cables AWG, 1, $12.64, $12.64, wiring to connect electrical parts to power, https://www.amazon.ca/gp/product/B07BQS99DH/ref=ppx_yo_dt_b_asin_title_o07_s00?ie=UTF8&psc=1
28mm bearings, 1, $20, $20, bearings for the velcro conveyor to roll, https://www.amazon.ca/gp/product/B07X9T9SF9/ref=ppx_yo_dt_b_asin_title_o07_s00?ie=UTF8&psc=1
Adafruit electric heatpad, 1, $22.39, $22.39, a heatpad to increase humity in the unit, https://www.amazon.ca/gp/product/B00SK6M0AO/ref=ppx_yo_dt_b_asin_title_o06_s00?ie=UTF8&psc=1
Vibration motors, 1, $9.68, $9.68, Vibration motors to make the CaCO3 fall off the velcro once it's ready, https://www.amazon.ca/-/fr/gp/product/B07T45S3MG/ref=ppx_od_dt_b_asin_title_s00?ie=UTF8&psc=1
9V batteries (pack of 4), 1, $23.17, $23.17, Batteries to power the five vibrating motors (every rotation interval) and the heatpad (constantly), N.A.
Crazy glue, 1, $5, $5, glue to stick the HS-311 Servo to the conveyor wheel, N.A.
1 1/8 drillbit, 1, $46, $46, drillbit used to pierce holes for the bearings an water inlet in the plexiglass, N.A.
Funnel and pipes, 1, $17.16, $17.16, funnel and pipes used to fill the Cyan unit with water, N.A.
